,country,industry,marketcap,price,sector,avgvol
1040,USA,Diversified Computer Systems,973,24.2,Technology,290
1111,USA,Waste Management,963,23.02,Industrial Goods,290
1205,China,Insurance Brokers,1344,21.62,Financial,290
1278,USA,REIT - Diversified,1387,20.58,Financial,290
1377,USA,Investment Brokerage - Regional,639,19.25,Financial,290
1384,USA,Information Technology Services,1743,19.17,Technology,290
1401,USA,Restaurants,513,19,Services,290
1402,USA,Biotechnology,705,19,Healthcare,290
1705,USA,Biotechnology,454,15.3,Healthcare,290
1811,USA,Diagnostic Substances,607,14,Healthcare,290
1944,USA,Industrial Electrical Equipment,1039,12.36,Industrial Goods,290
2244,China,Application Software,304,9.15,Technology,290
2254,USA,Biotechnology,195,9.03,Healthcare,290
2458,USA,Closed-End Fund - Debt,623,7.03,Financial,290
2535,USA,Electronic Equipment,139,6.25,Consumer Goods,290
2668,USA,Semiconductor- Memory Chips,164,5.1,Technology,290
3270,USA,Healthcare Information Services,33,1.69,Technology,290
3273,USA,Apparel Stores,47,1.68,Services,290
3343,China,Credit Services,29,1.38,Financial,290
3348,USA,Business Software & Services,44,1.37,Technology,290
3524,Israel,Medical Laboratories & Research,2,0.56,Healthcare,290
3539,USA,Medical Instruments & Supplies,34,0.43,Healthcare,290
85,USA,Application Software,2489,47.16,Technology,280
156,Bermuda,Diversified Utilities,17082,44.81,Utilities,280
286,USA,Rental & Leasing Services,1466,40.65,Services,280
883,USA,Heavy Construction,1400,27.19,Industrial Goods,280
998,USA,Business Software & Services,732,25.1,Technology,280
1047,USA,REIT - Diversified,1319,24.06,Financial,280
1547,Cyprus,Credit Services,1097,17.33,Financial,280
1788,Canada,Paper & Paper Products,901,14.3,Consumer Goods,280
1844,USA,Asset Management,1026,13.55,Financial,280
1966,USA,Diversified Electronics,100,12.04,Technology,280
2137,USA,Semiconductor Equipment & Materials,153,10.07,Technology,280
2220,USA,Money Center Banks,416,9.4,Financial,280
2342,France,Drug Delivery,327,8.2,Healthcare,280
2521,USA,Closed-End Fund - Debt,867,6.46,Financial,280
2567,USA,Communication Equipment,305,5.95,Technology,280
2608,China,Processed & Packaged Goods,52,5.64,Consumer Goods,280
2984,USA,Business Software & Services,276,3.09,Technology,280
3019,Peru,Technical Services,367,2.85,Services,280
3043,USA,Scientific & Technical Instruments,9,2.74,Technology,280
3388,China,Auto Parts,63,1.22,Consumer Goods,280
3427,USA,Biotechnology,19,1.07,Healthcare,280
3439,Canada,Gold,102,1.03,Basic Materials,280
3544,USA,Industrial Electrical Equipment,24,0.4,Industrial Goods,280
3547,USA,Security Software & Services,4,0.4,Technology,280
52,USA,Technical Services,2683,48.15,Services,270
73,CaymanIslands,Farm Products,2355,47.67,Consumer Goods,270
137,USA,Medical Appliances & Equipment,631,45.35,Healthcare,270
596,USA,Application Software,1733,32.8,Technology,270
806,UnitedKingdom,Application Software,1624,28.67,Technology,270
825,USA,Rental & Leasing Services,573,28.32,Services,270
866,USA,Staffing & Outsourcing Services,1164,27.5,Services,270
996,USA,REIT - Office,2255,25.13,Financial,270
1257,USA,Telecom Services - Domestic,886,20.85,Technology,270
1289,USA,Diversified Machinery,708,20.46,Industrial Goods,270
1471,USA,Resorts & Casinos,1363,18.26,Services,270
1516,USA,Oil & Gas Equipment & Services,473,17.8,Basic Materials,270
1586,USA,Publishing - Newspapers,897,16.78,Services,270
1681,USA,Biotechnology,388,15.6,Healthcare,270
1881,USA,"Lumber, Wood Production",568,13.13,Industrial Goods,270
2098,China,Internet Software & Services,726,10.39,Technology,270
2153,USA,Mortgage Investment,417,9.95,Financial,270
2799,USA,Internet Information Providers,17,4.09,Technology,270
3022,USA,Asset Management,285,2.84,Financial,270
3086,USA,Auto Parts,96,2.56,Consumer Goods,270
3288,USA,Independent Oil & Gas,109,1.61,Basic Materials,270
3294,Canada,Industrial Metals & Minerals,155,1.59,Basic Materials,270
3314,China,Application Software,62,1.48,Technology,270
3347,USA,Biotechnology,22,1.37,Healthcare,270
3359,USA,Oil & Gas Drilling & Exploration,85,1.34,Basic Materials,270
3409,Israel,Application Software,22,1.14,Technology,270
3482,Canada,Drug Delivery,28,0.8,Healthcare,270
123,USA,General Building Materials,1320,45.73,Industrial Goods,260
211,USA,Diversified Utilities,2346,43.11,Utilities,260
755,USA,Oil & Gas Pipelines,14128,29.64,Basic Materials,260
774,USA,Regional - Pacific Banks,4073,29.18,Financial,260
830,USA,General Building Materials,1066,28.15,Industrial Goods,260
1090,USA,Rental & Leasing Services,1848,23.39,Services,260
1127,Bermuda,Shipping,1565,22.8,Services,260
1351,USA,Property & Casualty Insurance,2091,19.64,Financial,260
1358,USA,Catalog & Mail Order Houses,638,19.55,Services,260
1669,USA,Oil & Gas Pipelines,654,15.7,Basic Materials,260
1845,HongKong,Wireless Communications,40935,13.53,Technology,260
1963,USA,Education & Training Services,849,12.08,Services,260
2079,USA,Independent Oil & Gas,693,10.63,Basic Materials,260
2097,USA,Metal Fabrication,398,10.4,Industrial Goods,260
2142,USA,Business Services,558,10.03,Services,260
2318,Israel,Telecom Services - Domestic,137,8.45,Technology,260
2363,Bermuda,Shipping,267,8,Services,260
2497,UnitedKingdom,Biotechnology,632,6.68,Healthcare,260
2769,USA,Biotechnology,276,4.27,Healthcare,260
2787,China,Textile - Apparel Clothing,7,4.14,Consumer Goods,260
2869,USA,Wireless Communications,84,3.75,Technology,260
2900,USA,Pollution & Treatment Controls,60,3.6,Industrial Goods,260
3422,China,Advertising Agencies,14,1.09,Services,260
3537,Israel,Communication Equipment,13,0.44,Technology,260
529,USA,Residential Construction,963,34.4,Industrial Goods,250
613,USA,Medical Appliances & Equipment,952,32.4,Healthcare,250
894,USA,Savings & Loans,1820,26.97,Financial,250
963,USA,Oil & Gas Pipelines,3983,25.74,Basic Materials,250
964,USA,Regional - Southeast Banks,1562,25.73,Financial,250
1058,USA,Semiconductor - Specialized,792,23.95,Technology,250
1094,Canada,Gaming Activities,3436,23.3,Services,250
1183,USA,Semiconductor Equipment & Materials,615,21.95,Technology,250
1321,USA,Pollution & Treatment Controls,1216,20.09,Industrial Goods,250
1363,USA,Business Services,648,19.49,Services,250
1416,USA,Electric Utilities,3454,18.85,Utilities,250
1457,USA,Auto Dealerships,818,18.45,Services,250
1650,USA,Apparel Stores,404,15.92,Services,250
1667,USA,Information Technology Services,337,15.71,Technology,250
1731,USA,Closed-End Fund - Equity,1485,15.03,Financial,250
1878,USA,Restaurants,871,13.24,Services,250
1984,USA,REIT - Residential,638,11.86,Financial,250
2035,USA,Restaurants,356,11.22,Services,250
2067,USA,Resorts & Casinos,1198,10.79,Services,250
2081,USA,Diversified Communication Services,267,10.6,Technology,250
2131,USA,REIT - Residential,268,10.11,Financial,250
2138,USA,Closed-End Fund - Equity,369,10.06,Financial,250
2176,USA,Biotechnology,94,9.75,Healthcare,250
2180,USA,REIT - Hotel/Motel,310,9.73,Financial,250
2286,USA,Chemicals - Major Diversified,248,8.76,Basic Materials,250
2294,USA,REIT - Diversified,281,8.68,Financial,250
2420,USA,Biotechnology,192,7.47,Healthcare,250
2633,USA,Heavy Construction,337,5.4,Industrial Goods,250
2645,Russia,Steel & Iron,1459,5.26,Basic Materials,250
2742,USA,Healthcare Information Services,456,4.41,Technology,250
2835,USA,Application Software,140,3.93,Technology,250
2889,UnitedKingdom,Oil & Gas Drilling & Exploration,331,3.66,Basic Materials,250
3071,Canada,Silver,440,2.62,Basic Materials,250
3084,USA,Closed-End Fund - Debt,867,2.56,Financial,250
3285,USA,Gold,20,1.63,Basic Materials,250
3356,USA,Biotechnology,16,1.34,Healthcare,250
3391,Bermuda,Shipping,75,1.2,Services,250
3483,USA,Independent Oil & Gas,10,0.8,Basic Materials,250
3495,USA,Gold,71,0.7,Basic Materials,250
3497,USA,Medical Instruments & Supplies,22,0.68,Healthcare,250
3513,USA,Data Storage Devices,9,0.61,Technology,250
3523,USA,Medical Appliances & Equipment,10,0.57,Healthcare,250
3599,USA,Medical Laboratories & Research,1,0.12,Healthcare,250
2,USA,Business Services,2256,49.85,Services,240
39,USA,Healthcare Information Services,1855,48.5,Technology,240
105,Luxembourg,Information Technology Services,1596,46.46,Technology,240
134,USA,Investment Brokerage - National,2968,45.43,Financial,240
148,USA,Heavy Construction,708,45,Industrial Goods,240
234,USA,Regional - Southwest Banks,2058,42.21,Financial,240
305,USA,Diversified Electronics,1539,40.1,Technology,240
330,USA,Regional - Southwest  Banks,2653,39.7,Financial,240
365,USA,Business Equipment,1691,38.57,Consumer Goods,240
379,USA,REIT - Retail,1799,38.24,Financial,240
449,China,Multimedia & Graphics Software,1913,36.43,Technology,240
642,USA,Regional - Southeast Banks,2174,31.86,Financial,240
747,USA,"Recreational Goods, Other",618,29.73,Consumer Goods,240
908,USA,Food Wholesale,973,26.68,Services,240
950,USA,Regional - Northeast Banks,801,25.99,Financial,240
1000,USA,Asset Management,2350,25.05,Financial,240
1072,USA,Medical Appliances & Equipment,791,23.69,Healthcare,240
1093,USA,Independent Oil & Gas,2612,23.33,Basic Materials,240
1640,Israel,Diversified Machinery,532,16.15,Industrial Goods,240
1793,USA,Oil & Gas Pipelines,6126,14.22,Basic Materials,240
1849,USA,Long-Term Care Facilities,414,13.49,Healthcare,240
2128,USA,Biotechnology,411,10.14,Healthcare,240
2352,Bermuda,Shipping,1165,8.15,Services,240
2421,USA,Semiconductor - Integrated Circuits,132,7.47,Technology,240
2448,USA,"Specialty Retail, Other",203,7.19,Services,240
2508,USA,Personal Services,252,6.56,Services,240
2538,USA,Hospitals,195,6.24,Healthcare,240
2541,USA,Closed-End Fund - Debt,467,6.21,Financial,240
2578,USA,Medical Laboratories & Research,232,5.89,Healthcare,240
2613,USA,Medical Appliances & Equipment,96,5.6,Healthcare,240
2750,USA,Application Software,240,4.38,Technology,240
2861,USA,Staffing & Outsourcing Services,82,3.8,Services,240
2882,USA,Biotechnology,125,3.69,Healthcare,240
2982,USA,Electronic Equipment,132,3.1,Consumer Goods,240
3159,USA,Drugs - Generic,34,2.26,Healthcare,240
3334,USA,Biotechnology,28,1.41,Healthcare,240
3361,USA,Biotechnology,26,1.33,Healthcare,240
3374,USA,Drug Manufacturers - Other,21,1.29,Healthcare,240
3429,China,Specialty Chemicals,11,1.06,Basic Materials,240
3536,USA,Communication Equipment,22,0.45,Technology,240
3583,USA,"Specialty Retail, Other",9,0.19,Services,240
122,USA,Oil & Gas Pipelines,3370,45.85,Basic Materials,230
302,USA,Medical Appliances & Equipment,1523,40.17,Healthcare,230
327,USA,Money Center Banks,2380,39.8,Financial,230
474,USA,Trucking,901,35.75,Services,230
537,SouthAfrica,Major Integrated Oil & Gas,22398,34.21,Basic Materials,230
600,USA,Broadcasting - TV,22284,32.72,Services,230
674,USA,Biotechnology,933,31.25,Healthcare,230
738,USA,Shipping,1263,29.84,Services,230
769,USA,Accident & Health Insurance,893,29.27,Financial,230
873,USA,Property & Casualty Insurance,939,27.35,Financial,230
902,CaymanIslands,Oil & Gas Drilling & Exploration,2404,26.8,Basic Materials,230
1125,USA,Auto Parts,663,22.86,Consumer Goods,230
1165,USA,Communication Equipment,521,22.12,Technology,230
1210,Bermuda,Rental & Leasing Services,1259,21.5,Services,230
1240,USA,Drug Manufacturers - Major,818,21.07,Healthcare,230
1301,USA,Trucking,1105,20.3,Services,230
1316,Bermuda,Shipping,1581,20.15,Services,230
1637,USA,Closed-End Fund - Equity,1344,16.17,Financial,230
1737,China,Education & Training Services,850,14.99,Services,230
1894,USA,Farm & Construction Machinery,767,12.88,Industrial Goods,230
1960,USA,Restaurants,449,12.15,Services,230
1985,USA,Closed-End Fund - Debt,859,11.85,Financial,230
2112,USA,Drug Manufacturers - Other,194,10.25,Healthcare,230
2134,USA,Medical Laboratories & Research,481,10.1,Healthcare,230
2333,USA,Biotechnology,407,8.35,Healthcare,230
2493,USA,Wireless Communications,145,6.72,Technology,230
2495,USA,Drug Delivery,104,6.7,Healthcare,230
2661,USA,Pollution & Treatment Controls,182,5.13,Industrial Goods,230
2682,UnitedKingdom,Diagnostic Substances,227,4.95,Healthcare,230
2684,USA,Heavy Construction,121,4.9,Industrial Goods,230
2702,USA,"Specialty Retail, Other",231,4.74,Services,230
2794,USA,Medical Laboratories & Research,143,4.12,Healthcare,230
2865,USA,Specialty Chemicals,163,3.75,Basic Materials,230
3016,USA,Staffing & Outsourcing Services,83,2.88,Services,230
3057,China,Internet Information Providers,60,2.68,Technology,230
3087,USA,Business Services,122,2.55,Services,230
3394,USA,Marketing Services,14,1.19,Services,230
16,USA,Medical Appliances & Equipment,709,49.45,Healthcare,220
147,USA,Regional - Southwest  Banks,3020,45.05,Financial,220
347,USA,Aerospace/Defense Products & Services,1487,39.29,Industrial Goods,220
442,Canada,Electric Utilities,15382,36.67,Utilities,220
459,USA,Medical Laboratories & Research,1382,36.26,Healthcare,220
585,USA,Application Software,996,33.1,Technology,220
591,USA,Steel & Iron,1053,33,Basic Materials,220
680,Canada,Major Integrated Oil & Gas,26256,31.19,Basic Materials,220
957,USA,Oil & Gas Pipelines,1807,25.8,Basic Materials,220
977,USA,Heavy Construction,829,25.43,Industrial Goods,220
1175,Israel,General Building Materials,770,22,Industrial Goods,220
1201,USA,Application Software,451,21.66,Technology,220
1379,USA,Drug Manufacturers - Other,891,19.24,Healthcare,220
1621,USA,Regional - Northeast Banks,759,16.4,Financial,220
1707,USA,Restaurants,332,15.25,Services,220
1716,USA,Credit Services,514,15.2,Financial,220
1809,USA,Industrial Equipment Wholesale,351,14.02,Services,220
1886,Canada,REIT - Office,395,13.01,Financial,220
1905,USA,Staffing & Outsourcing Services,459,12.76,Services,220
1947,USA,Specialty Eateries,313,12.3,Services,220
2151,HongKong,Medical Laboratories & Research,1204,9.95,Healthcare,220
2168,USA,Biotechnology,221,9.81,Healthcare,220
2250,USA,Chemicals - Major Diversified,820,9.1,Basic Materials,220
2316,USA,Biotechnology,188,8.5,Healthcare,220
2733,USA,Biotechnology,381,4.49,Healthcare,220
2745,USA,Business Software & Services,260,4.4,Technology,220
2850,USA,Biotechnology,170,3.88,Healthcare,220
3065,USA,Scientific & Technical Instruments,19,2.65,Technology,220
3158,USA,Drugs - Generic,69,2.27,Healthcare,220
3434,USA,Semiconductor - Specialized,24,1.05,Technology,220
3472,USA,Independent Oil & Gas,52,0.85,Basic Materials,220
3493,USA,Independent Oil & Gas,40,0.7,Basic Materials,220
49,USA,Regional - Mid-Atlantic Banks,1799,48.2,Financial,210
192,USA,REIT - Healthcare Facilities,1731,43.55,Financial,210
241,USA,Asset Management,6611,42.1,Financial,210
243,USA,Regional - Midwest Banks,2063,42.06,Financial,210
314,Bermuda,Property & Casualty Insurance,1185,40.01,Financial,210
416,France,Application Software,1100,37.48,Technology,210
443,Argentina,Diversified Communication Services,3465,36.63,Technology,210
777,France,Biotechnology,989,29.15,Healthcare,210
833,USA,REIT - Healthcare Facilities,513,28.1,Financial,210
876,USA,Money Center Banks,888,27.3,Financial,210
923,USA,Application Software,852,26.45,Technology,210
1063,USA,Scientific & Technical Instruments,760,23.9,Technology,210
1150,USA,Mortgage Investment,528,22.35,Financial,210
1277,USA,Savings & Loans,1115,20.6,Financial,210
1407,USA,Food - Major Diversified,675,18.95,Consumer Goods,210
1539,USA,Medical Laboratories & Research,540,17.4,Healthcare,210
1651,USA,Biotechnology,936,15.9,Healthcare,210
2141,USA,Closed-End Fund - Debt,249,10.05,Financial,210
2287,USA,Biotechnology,210,8.76,Healthcare,210
2339,USA,Independent Oil & Gas,379,8.24,Basic Materials,210
2375,China,Biotechnology,452,7.88,Healthcare,210
2412,USA,Home Furnishings & Fixtures,169,7.52,Consumer Goods,210
2466,USA,Communication Equipment,235,6.97,Technology,210
2719,USA,Marketing Services,1785,4.6,Services,210
2814,Israel,Agricultural Chemicals,5162,4.04,Basic Materials,210
3230,USA,Medical Laboratories & Research,52,1.85,Healthcare,210
3306,USA,Biotechnology,16,1.5,Healthcare,210
3587,China,Drug Manufacturers - Major,8,0.18,Healthcare,210
33,USA,Property Management,1817,48.64,Financial,200
74,USA,Diversified Machinery,2033,47.55,Industrial Goods,200
329,USA,Diversified Investments,2246,39.73,Financial,200
435,USA,Business Software & Services,1559,36.85,Technology,200
463,USA,Regional - Mid-Atlantic Banks,1570,36.17,Financial,200
582,Italy,Major Integrated Oil & Gas,60384,33.19,Basic Materials,200
648,USA,Auto Parts,1183,31.75,Consumer Goods,200
791,USA,Savings & Loans,791,28.95,Financial,200
1132,USA,Biotechnology,674,22.67,Healthcare,200
1163,Bermuda,Real Estate Development,5672,22.16,Financial,200
1204,USA,Restaurants,686,21.65,Services,200
1429,USA,Application Software,829,18.66,Technology,200
1447,USA,Business Services,329,18.49,Services,200
1560,USA,Oil & Gas Refining & Marketing,1085,17.09,Basic Materials,200
1663,USA,Application Software,467,15.75,Technology,200
1852,USA,Business Services,663,13.44,Services,200
1856,USA,REIT - Office,747,13.43,Financial,200
1923,USA,Beverages - Soft Drinks,382,12.57,Consumer Goods,200
2044,USA,Diversified Investments,364,11.16,Financial,200
2064,Monaco,Shipping,570,10.86,Services,200
2074,USA,Auto Parts Wholesale,330,10.69,Services,200
2110,USA,Biotechnology,136,10.25,Healthcare,200
2126,Luxembourg,Business Services,751,10.15,Services,200
2201,USA,Drugs - Generic,436,9.6,Healthcare,200
2574,USA,Biotechnology,249,5.95,Healthcare,200
2611,China,Wireless Communications,201,5.63,Technology,200
2706,USA,Regional - Mid-Atlantic Banks,5,4.7,Financial,200
2950,USA,Diversified Electronics,73,3.29,Technology,200
3123,China,General Building Materials,13,2.39,Industrial Goods,200
3146,USA,Drugs - Generic,68,2.32,Healthcare,200
3175,USA,Application Software,62,2.16,Technology,200
3234,USA,Drug Manufacturers - Other,28,1.84,Healthcare,200
3310,USA,Independent Oil & Gas,9,1.5,Basic Materials,200
3487,USA,Biotechnology,27,0.77,Healthcare,200
3593,USA,Application Software,9,0.15,Technology,200
75,USA,Mortgage Investment,1453,47.5,Financial,190
277,Japan,Application Software,9058,40.99,Technology,190
309,USA,Regional - Pacific Banks,2264,40.05,Financial,190
377,USA,Application Software,1358,38.29,Technology,190
386,USA,Security Software & Services,1970,37.9,Technology,190
402,USA,Agricultural Chemicals,1435,37.71,Basic Materials,190
423,USA,Chemicals - Major Diversified,1111,37.25,Basic Materials,190
444,USA,Savings & Loans,1675,36.6,Financial,190
655,USA,Food Wholesale,1445,31.58,Services,190
667,USA,Diversified Machinery,1331,31.39,Industrial Goods,190
758,Chile,Beverages - Brewers,5448,29.58,Consumer Goods,190
827,USA,Biotechnology,739,28.32,Healthcare,190
836,USA,Restaurants,468,28.05,Services,190
987,USA,Regional - Mid-Atlantic Banks,1109,25.21,Financial,190
1073,USA,Diversified Machinery,762,23.67,Industrial Goods,190
1158,USA,Recreational Vehicles,424,22.22,Consumer Goods,190
1186,USA,Biotechnology,1047,21.92,Healthcare,190
1234,USA,Industrial Equipment Wholesale,464,21.17,Services,190
1346,USA,Medical Instruments & Supplies,883,19.7,Healthcare,190
1452,USA,Business Services,540,18.46,Services,190
1479,USA,Asset Management,1091,18.2,Financial,190
1603,USA,Medical Instruments & Supplies,615,16.63,Healthcare,190
1659,China,Medical Laboratories & Research,1084,15.8,Healthcare,190
1692,USA,Business Services,851,15.45,Services,190
1820,USA,Security Software & Services,561,13.9,Technology,190
2341,USA,Shipping,444,8.22,Services,190
2393,USA,Closed-End Fund - Debt,517,7.7,Financial,190
2418,USA,Semiconductor- Memory Chips,98,7.5,Technology,190
2512,USA,Biotechnology,228,6.53,Healthcare,190
2550,Canada,Consumer Services,581,6.14,Services,190
2557,USA,Biotechnology,242,6.05,Healthcare,190
2649,USA,Business Software & Services,151,5.25,Technology,190
2659,Israel,Biotechnology,883,5.14,Healthcare,190
2764,Canada,Diversified Utilities,631,4.29,Utilities,190
2779,UnitedArabEmirates,Food - Major Diversified,171,4.17,Consumer Goods,190
2796,USA,Biotechnology,156,4.1,Healthcare,190
2906,USA,Industrial Electrical Equipment,94,3.55,Industrial Goods,190
2925,USA,Drugs - Generic,72,3.44,Healthcare,190
3036,USA,Industrial Electrical Equipment,79,2.75,Industrial Goods,190
3054,USA,Telecom Services - Domestic,136,2.68,Technology,190
3061,USA,Biotechnology,63,2.66,Healthcare,190
3098,USA,Air Delivery & Freight Services,138,2.49,Services,190
3142,USA,Toys & Games,64,2.35,Consumer Goods,190
3149,USA,Waste Management,36,2.3,Industrial Goods,190
3161,USA,Biotechnology,125,2.25,Healthcare,190
3187,USA,Drug Manufacturers - Other,74,2.1,Healthcare,190
3195,USA,Independent Oil & Gas,108,2.05,Basic Materials,190
3206,USA,Biotechnology,31,1.99,Healthcare,190
3223,USA,Biotechnology,22,1.89,Healthcare,190
3289,Israel,Medical Laboratories & Research,17,1.6,Healthcare,190
3404,USA,Biotechnology,116,1.16,Healthcare,190
3408,USA,Closed-End Fund - Equity,24,1.15,Financial,190
3563,USA,Oil & Gas Equipment & Services,2,0.32,Basic Materials,190
3571,Canada,Gold,34,0.28,Basic Materials,190
109,USA,Gas Utilities,4293,46.23,Utilities,180
116,USA,Semiconductor - Specialized,1015,46.15,Technology,180
178,USA,Property & Casualty Insurance,1802,44.1,Financial,180
427,USA,Oil & Gas Pipelines,8110,37.16,Basic Materials,180
480,USA,Biotechnology,292,35.6,Healthcare,180
502,Singapore,Biotechnology,966,35.1,Healthcare,180
644,USA,Medical Instruments & Supplies,611,31.84,Healthcare,180
697,USA,Regional - Pacific Banks,922,30.8,Financial,180
709,USA,Oil & Gas Pipelines,3013,30.45,Basic Materials,180
826,USA,Steel & Iron,544,28.32,Basic Materials,180
845,CaymanIslands,Biotechnology,1512,27.89,Healthcare,180
891,USA,Application Software,849,27,Technology,180
1135,USA,Business Services,1184,22.6,Services,180
1156,Argentina,Gas Utilities,1724,22.23,Utilities,180
1159,USA,Long-Term Care Facilities,1124,22.2,Healthcare,180
1286,USA,Food Wholesale,538,20.5,Services,180
1297,USA,REIT - Office,967,20.39,Financial,180
1300,USA,Money Center Banks,766,20.3,Financial,180
1369,Israel,Information Technology Services,861,19.4,Technology,180
1446,USA,Biotechnology,452,18.49,Healthcare,180
1487,USA,Biotechnology,549,18.1,Healthcare,180
1535,USA,Nonmetallic Mineral Mining,800,17.45,Basic Materials,180
1706,USA,Closed-End Fund - Debt,899,15.28,Financial,180
1798,USA,Business Software & Services,186,14.12,Technology,180
1810,USA,Oil & Gas Pipelines,548,14,Basic Materials,180
1901,USA,Conglomerates,298,12.8,Conglomerates,180
1943,USA,Electric Utilities,451,12.4,Utilities,180
2200,USA,Biotechnology,376,9.61,Healthcare,180
2256,USA,Specialized Health Services,208,9,Healthcare,180
2273,USA,Grocery Stores,200,8.93,Services,180
2344,USA,Conglomerates,180,8.2,Conglomerates,180
2443,USA,Biotechnology,268,7.25,Healthcare,180
2444,Canada,Biotechnology,79,7.25,Healthcare,180
2481,USA,Biotechnology,125,6.8,Healthcare,180
2614,USA,Biotechnology,134,5.6,Healthcare,180
2650,USA,Restaurants,220,5.25,Services,180
2744,USA,Auto Parts,193,4.4,Consumer Goods,180
2759,Canada,Oil & Gas Drilling & Exploration,826,4.3,Basic Materials,180
2878,China,Industrial Electrical Equipment,56,3.7,Industrial Goods,180
2893,Japan,Foreign Regional Banks,45429,3.64,Financial,180
2912,USA,Credit Services,77,3.53,Financial,180
3081,USA,Medical Appliances & Equipment,52,2.58,Healthcare,180
3085,USA,Air Delivery & Freight Services,29,2.56,Services,180
3109,USA,Scientific & Technical Instruments,69,2.43,Technology,180
36,USA,Application Software,837,48.59,Technology,170
136,USA,Paper & Paper Products,1398,45.36,Consumer Goods,170
138,USA,Water Utilities,2168,45.35,Utilities,170
141,USA,Medical Appliances & Equipment,1446,45.3,Healthcare,170
179,USA,Information Technology Services,1299,44.08,Technology,170
189,USA,General Contractors,1634,43.65,Industrial Goods,170
279,USA,Money Center Banks,2025,40.89,Financial,170
303,India,Business Services,2033,40.13,Services,170
525,USA,Packaging & Containers,1521,34.5,Consumer Goods,170
604,USA,Real Estate Development,1231,32.61,Financial,170
626,USA,Independent Oil & Gas,644,32.16,Basic Materials,170
664,USA,Information Technology Services,1358,31.45,Technology,170
719,USA,Communication Equipment,905,30.22,Technology,170
837,USA,Healthcare Information Services,508,28.05,Technology,170
877,USA,Staffing & Outsourcing Services,1053,27.27,Services,170
884,USA,REIT - Retail,1062,27.16,Financial,170
1032,Australia,Foreign Money Center Banks,82271,24.38,Financial,170
1068,Japan,Diversified Communication Services,92377,23.77,Technology,170
1075,USA,Medical Instruments & Supplies,380,23.6,Healthcare,170
1089,USA,General Building Materials,825,23.4,Industrial Goods,170
1137,USA,Closed-End Fund - Equity,896,22.55,Financial,170
1443,USA,General Building Materials,1288,18.5,Industrial Goods,170
1476,USA,Medical Instruments & Supplies,631,18.24,Healthcare,170
1548,USA,Diversified Electronics,2941,17.3,Technology,170
1618,USA,Regional - Northeast Banks,1250,16.45,Financial,170
1652,USA,Education & Training Services,664,15.9,Services,170
1661,USA,Biotechnology,172,15.8,Healthcare,170
1702,USA,Personal Services,730,15.36,Services,170
2143,USA,Biotechnology,264,10.02,Healthcare,170
2221,China,Waste Management,104,9.39,Industrial Goods,170
2350,USA,Medical Laboratories & Research,386,8.15,Healthcare,170
2371,USA,REIT - Office,32,7.95,Financial,170
2439,USA,Closed-End Fund - Equity,116,7.28,Financial,170
2662,USA,Independent Oil & Gas,277,5.11,Basic Materials,170
2887,Canada,Gold,161,3.67,Basic Materials,170
2963,Canada,Application Software,18,3.21,Technology,170
2970,USA,Investment Brokerage - National,627,3.16,Financial,170
3060,USA,Medical Instruments & Supplies,45,2.66,Healthcare,170
3094,Israel,Biotechnology,128,2.5,Healthcare,170
3300,USA,Independent Oil & Gas,3,1.56,Basic Materials,170
3345,USA,Oil & Gas Drilling & Exploration,15,1.38,Basic Materials,170
3467,Israel,Medical Laboratories & Research,16,0.87,Healthcare,170
3540,Canada,Gold,71,0.43,Basic Materials,170
120,USA,Industrial Electrical Equipment,2156,45.9,Industrial Goods,160
455,Canada,Oil & Gas Drilling & Exploration,4416,36.32,Basic Materials,160
539,USA,Medical Laboratories & Research,1191,34.2,Healthcare,160
610,USA,Oil & Gas Pipelines,2096,32.49,Basic Materials,160
1011,USA,Semiconductor Equipment & Materials,641,24.92,Technology,160
1103,USA,Healthcare Information Services,739,23.16,Technology,160
1330,USA,Rental & Leasing Services,1498,19.93,Services,160
1385,USA,Medical Appliances & Equipment,687,19.15,Healthcare,160
1587,USA,Oil & Gas Pipelines,1071,16.77,Basic Materials,160
1680,USA,Application Software,509,15.6,Technology,160
1739,USA,Regional - Midwest Banks,4228,14.94,Financial,160
1744,USA,Auto Parts,380,14.85,Consumer Goods,160
1746,USA,Biotechnology,450,14.84,Healthcare,160
1750,USA,Apparel Stores,432,14.76,Services,160
1812,UnitedKingdom,Diagnostic Substances,362,13.97,Healthcare,160
1908,USA,Biotechnology,413,12.75,Healthcare,160
1983,USA,Application Software,1460,11.87,Technology,160
2004,China,Rental & Leasing Services,813,11.57,Services,160
2072,USA,"Specialty Retail, Other",695,10.7,Services,160
2095,USA,Medical Laboratories & Research,206,10.43,Healthcare,160
2164,UnitedKingdom,Shipping,567,9.85,Services,160
2245,USA,Resorts & Casinos,225,9.13,Services,160
2306,USA,Packaging & Containers,219,8.59,Consumer Goods,160
2453,USA,Application Software,255,7.1,Technology,160
2524,USA,Data Storage Devices,138,6.45,Technology,160
2616,USA,Auto Parts,139,5.6,Consumer Goods,160
2679,USA,Medical Appliances & Equipment,102,4.97,Healthcare,160
2962,USA,Biotechnology,80,3.21,Healthcare,160
2990,USA,Healthcare Information Services,335,3.05,Technology,160
3151,China,Drug Related Products,50,2.3,Healthcare,160
3168,USA,Apparel Stores,108,2.2,Services,160
