,country,industry,marketcap,price,sector,avgvol
2610,USA,Data Storage Devices,200,5.63,Technology,410
3140,USA,Electric Utilities,277,2.35,Utilities,410
3181,USA,Diversified Investments,5,2.15,Financial,410
3248,USA,Textile - Apparel Clothing,112,1.78,Consumer Goods,410
3373,China,Paper & Paper Products,28,1.29,Consumer Goods,410
3395,USA,Biotechnology,17,1.18,Healthcare,410
206,USA,Medical Instruments & Supplies,2187,43.2,Healthcare,400
253,USA,Business Software & Services,2657,41.85,Technology,400
387,Canada,Wireless Communications,22266,37.87,Technology,400
407,USA,General Building Materials,1561,37.64,Industrial Goods,400
518,USA,Business Software & Services,1414,34.68,Technology,400
536,USA,Savings & Loans,2990,34.25,Financial,400
1720,USA,Steel & Iron,679,15.19,Basic Materials,400
1973,USA,Credit Services,487,11.98,Financial,400
2071,USA,REIT - Office,1155,10.74,Financial,400
2087,USA,Oil & Gas Equipment & Services,753,10.5,Basic Materials,400
2152,SouthKorea,Semiconductor - Specialized,351,9.95,Technology,400
2594,USA,Credit Services,421,5.74,Financial,400
2808,USA,Business Services,204,4.05,Services,400
2824,USA,Biotechnology,27,4,Healthcare,400
2916,USA,Biotechnology,158,3.5,Healthcare,400
2967,USA,Semiconductor - Broad Line,243,3.2,Technology,400
3178,USA,Biotechnology,278,2.15,Healthcare,400
3245,USA,Application Software,122,1.79,Technology,400
3531,USA,Oil & Gas Drilling & Exploration,28,0.51,Basic Materials,400
200,USA,Diagnostic Substances,1479,43.35,Healthcare,390
338,USA,Asset Management,2989,39.5,Financial,390
1155,Monaco,Shipping,1780,22.25,Services,390
1258,India,Industrial Metals & Minerals,19163,20.83,Basic Materials,390
1495,USA,Property & Casualty Insurance,441,18.02,Financial,390
1528,USA,Oil & Gas Pipelines,3160,17.6,Basic Materials,390
1748,USA,REIT - Diversified,1153,14.82,Financial,390
1882,USA,Mortgage Investment,1108,13.12,Financial,390
1982,SouthAfrica,Business Services,702,11.89,Services,390
2551,USA,Biotechnology,254,6.11,Healthcare,390
2739,USA,Biotechnology,131,4.45,Healthcare,390
3176,USA,Independent Oil & Gas,119,2.16,Basic Materials,390
3331,USA,Diversified Machinery,18,1.42,Industrial Goods,390
3405,USA,Apparel Stores,56,1.16,Services,390
3488,USA,Long-Term Care Facilities,116,0.76,Healthcare,390
3498,USA,Industrial Metals & Minerals,103,0.68,Basic Materials,390
3555,USA,Biotechnology,59,0.36,Healthcare,390
3590,USA,Management Services,1,0.16,Services,390
24,USA,Diversified Machinery,6410,48.95,Industrial Goods,380
198,USA,Savings & Loans,2558,43.44,Financial,380
236,USA,Regional - Pacific Banks,3438,42.17,Financial,380
240,USA,Biotechnology,1440,42.1,Healthcare,380
282,USA,Internet Information Providers,7660,40.74,Technology,380
401,USA,Business Services,2478,37.72,Services,380
566,Switzerland,Computer Peripherals,5828,33.64,Technology,380
625,USA,Biotechnology,712,32.18,Healthcare,380
660,USA,Application Software,1833,31.48,Technology,380
988,Argentina,Foreign Regional Banks,5082,25.2,Financial,380
1440,USA,REIT - Diversified,857,18.5,Financial,380
1866,USA,Sporting Goods,425,13.35,Consumer Goods,380
2024,Canada,Gold,627,11.3,Basic Materials,380
2177,Canada,Marketing Services,578,9.75,Services,380
2331,USA,Internet Software & Services,392,8.38,Technology,380
2470,USA,Asset Management,505,6.91,Financial,380
2530,USA,Semiconductor - Integrated Circuits,216,6.33,Technology,380
2546,USA,Chemicals - Major Diversified,2110,6.17,Basic Materials,380
2840,Israel,Security Software & Services,61,3.91,Technology,380
3298,USA,Pollution & Treatment Controls,25,1.57,Industrial Goods,380
3512,USA,Communication Equipment,5,0.61,Technology,380
3515,Canada,Medical Appliances & Equipment,48,0.6,Healthcare,380
140,USA,Diversified Communication Services,2108,45.3,Technology,370
163,USA,Regional - Midwest Banks,3757,44.52,Financial,370
622,USA,Healthcare Information Services,2939,32.21,Technology,370
832,USA,Regional - Mid-Atlantic Banks,2083,28.14,Financial,370
1521,SouthKorea,Electric Utilities,22808,17.71,Utilities,370
1834,USA,Investment Brokerage - National,532,13.65,Financial,370
1990,USA,Oil & Gas Refining & Marketing,466,11.8,Basic Materials,370
2103,USA,Chemicals - Major Diversified,316,10.33,Basic Materials,370
2278,USA,Medical Laboratories & Research,713,8.86,Healthcare,370
